title,url,thumbnail_url,channel,description,views,uploaded
Apex Legends: Defiance Gameplay Trailer,https://www.youtube.com/watch?v=OtVABKfc_AE,https://i.ytimg.com/vi/OtVABKfc_AE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAy2qM4gIWeY34VDph67p-HGHyYYA,Apex Legends,"Check out the brand new limited-time mode Control debuting in Apex Legends: Defiance, and see new Legend Mad Maggie in action amidst the chaos of a sabotaged Olympus. http://x.ea.com/72542...",2.7M views,1 day ago
I have more christmas movies to complain about,https://www.youtube.com/watch?v=3HFi09o_iLU,https://i.ytimg.com/vi/3HFi09o_iLU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWkG2s0kCjdofkQ_5qPfm4pEaOdw,Drew Gooden,Sponsored by ExpressVPN. Go to https://www.expressvpn.com/drew and find out how you can get 3 months of ExpressVPN free. please don't look at the calendar. 00:00 - intro 01:19 - no sleep...,904K views,23 hours ago
Halo The Series (2022) | Official Trailer | Paramount+,https://www.youtube.com/watch?v=5KZ3MKraNKY,https://i.ytimg.com/vi/5KZ3MKraNKY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDy1ujNyGeUolY8gmnDyksG_9F6Zg,Paramount Plus,"#HaloTheSeries #MasterChief #ParamountPlus Dramatizing an epic 26th-century conflict between humanity and an alien threat known as the Covenant, Halo the series will weave deeply drawn personal...",3.7M views,1 day ago
Emmy Meli - I AM WOMAN (Official Performance Video),https://www.youtube.com/watch?v=uaGM5SRStQo,https://i.ytimg.com/vi/uaGM5SRStQo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAArgKzN8NaWdJFRZbEWbhTk8_wag,EMMY MELI,"I AM WOMAN available everywhere, stream here: https://emmymeli.lnk.to/IAMWOMAN Follow me: https://www.tiktok.com/@emmymelimusic https://www.instagram.com/emmymelimusic https://www.facebook.com/...",696K views,12 days ago
I FROZE his stuff?! (Prank) #shorts,https://www.youtube.com/watch?v=SCtgnRRRcGw,,NichLmao,CHECK ME OUT: INSTAGRAM ► Nichlmao TWITTER ► Nichlmao SNAPCHAT ► Nichlmao TWlTCH ► https://twitch.tv/notnichlmao GAMING ► https://www.youtube.com/channel/UCNLxsUvaP5CRMD6cvO03K4w...,2.2M views,20 hours ago
TEXAS CHAINSAW MASSACRE | Official Trailer | Netflix,https://www.youtube.com/watch?v=zcI6SFiK_yk,,Netflix,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town. Based on...",1M views,1 day ago
Renata Glasc: The Chem-Baroness | Champion Trailer - League of Legends,https://www.youtube.com/watch?v=X20X781I_-I,,League of Legends,"With her or against her, you’re always in her grasp. League of Legends - Free Sign Up & Download: https://signup.leagueoflegends.com/",1.3M views,9 hours ago
Bobby Lashley Backs Down from Brock Lesnar | WWE Raw Highlights 1/31/22 | WWE on USA,https://www.youtube.com/watch?v=6VwQCywPU74,,WWE on USA,"Brock Lesnar and Bobby Lashley meet in the ring after their Royal Rumble bout, and plans are made for a rematch in the Elimination Chamber. WWE Raw Highlights 1/31/22. Watch WWE Raw, 2/7 &...",276K views,17 hours ago
"Best Squid Game Honeycomb Candy Sculpture Wins $4,560!",https://www.youtube.com/watch?v=bVXpsS3Hxi0,,ZHC Crafts,Subscribe if you want to compete in a video! New Merch: https://zhcstore.com/ Thanks to @Preston for coming on as a judge! https://www.youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ Subscribe...,661K views,20 hours ago
Nick doesn't think he'll ever get over Chiefs 27-24 OT loss to Bengals | NFL | FIRST THINGS FIRST,https://www.youtube.com/watch?v=Zh0O5okGyCg,,First Things First,"After an electric AFC Championship game, Joe Burrow and the Cincinnati Bengals are headed to the Super Bowl, defeating the Kansas City Chiefs in overtime 27 to 24. Nick Wright is doing terribly....",230K views,1 day ago
